открытие 14.09.2018;максимум 14.09.2018;минимум 14.09.2018;закрытие 14.09.2018;открытие 16.10.2018;максимум 16.10.2018;минимум 16.10.2018;закрытие 16.10.2018;открытие 14.11.2018;максимум 14.11.2018;минимум 14.11.2018;закрытие 14.11.2018;открытие 14.12.2018;максимум 14.12.2018;минимум 14.12.2018;закрытие 14.12.2018
107020;107030;106960;106980;114860;114860;114800;114830;108720;108810;108700;108740;111360;111420;111350;111380
107030;107030;107030;107030;114850;114900;114780;114890;108750;108770;108670;108670;111370;111390;111310;111330
107060;107140;107050;107140;114880;114890;114770;114860;108680;108680;108430;108530;111340;111400;111320;111380
107120;107170;107100;107160;114860;114910;114850;114900;108520;108630;108500;108590;111380;111430;111350;111430
107090;107140;107080;107140;114890;114890;114830;114830;108590;108650;108560;108620;111430;111500;111420;111450
107090;107090;107090;107090;114840;114890;114830;114870;108630;108660;108550;108630;111460;111470;111420;111430
107120;107120;107060;107060;114890;114930;114840;114910;108620;108670;108580;108640;111450;111470;111440;111460
107080;107080;107060;107060;114920;114940;114870;114870;108640;108890;108610;108830;111460;111490;111410;111420
107140;107190;107140;107190;114870;114890;114840;114840;108830;108880;108810;108860;111410;111490;111410;111420
107200;107210;107130;107130;114850;114920;114850;114910;108860;109020;108830;109000;111430;111510;111430;111490
107150;107150;107150;107150;114910;114990;114910;114950;109000;109010;108840;108850;111490;111530;111440;111450
107130;107140;107130;107140;114960;115000;114950;114990;108850;108880;108830;108840;111460;111520;111450;111490
107150;107150;107140;107140;114990;115070;114970;115020;108840;108960;108830;108940;111490;111530;111460;111470
107140;107140;107140;107140;115010;115040;114940;115020;108950;109080;108910;109010;111460;111510;111440;111480
107100;107160;107090;107160;115010;115130;114980;115090;109010;109040;108970;109020;111490;111500;111470;111500
107180;107200;107130;107130;115090;115090;115040;115060;109020;109040;108950;108980;111490;111490;111430;111440
107130;107130;107100;107100;115070;115090;115050;115060;108980;109070;108970;109070;111460;111470;111450;111450
107140;107140;107140;107140;115050;115050;114970;114970;109070;109170;109070;109140;111460;111460;111410;111410
107150;107170;107150;107170;115000;115000;114920;114950;109140;109150;109090;109110;111410;111460;111410;111410
107190;107270;107190;107250;114960;114980;114920;114950;109100;109120;109020;109060;111410;111430;111370;111420
107230;107230;107210;107210;114960;114980;114930;114950;109060;109170;109030;109120;111420;111420;111370;111390
107200;107250;107190;107250;114950;115050;114920;115050;109130;109220;109090;109150;111400;111410;111360;111370
107240;107250;107240;107250;115040;115050;115000;115000;109150;109410;109140;109410;111360;111420;111350;111390
107250;107280;107230;107230;115000;115050;114970;114980;109400;109800;109390;109790;111400;111450;111390;111440
107210;107210;107210;107210;114980;115040;114970;115000;109790;109860;109710;109720;111440;111450;111400;111430
107180;107210;107180;107210;114990;115040;114970;114980;109720;109820;109720;109810;111410;111420;111330;111370
